,mean,std,variance,entropy,dynamic_range,rms_contrast,mean_red,mean_green,mean_blue,colorfulness,red_ratio,mean_saturation,mean_value,contrast,correlation,energy,homogeneity,ASM,dissimilarity,glcm_entropy,glcm_variance,edge_density,gradient,laplacian_variance,keypoint_density
red_ratio,0.42498579904831696,-0.027737800745156,0.0011169136322810472,0.046031643360509154,0.07648720374831076,-0.027737800745156,0.9356741127808303,-0.3890095576581148,-0.38359457279414355,-0.6305459754473347,1.0,-0.7524676846341203,-0.4456444594356723,-0.22874249285920456,0.32164469524978395,-0.10355493330793088,-0.1290446056406192,-0.042403930854631386,-0.12625145868635992,0.032181144988790905,-0.04240393085463144,-0.08153419470701936,-0.11238329155238512,-0.23902802465476258,-0.07050276066573041
mean_saturation,-0.3741475175449409,0.18859503605601693,0.16589741877084488,0.1079869955617991,0.1356142719523245,0.18859503605601693,-0.7219525048586284,0.23800524055345612,0.21104408082028137,0.9668110650204093,-0.7524676846341203,1.0,0.8318411456735079,0.3390541207830497,-0.36276083551785937,0.040912198309939744,0.08697286423524918,-0.011254099062330759,0.2366168718072615,0.08786850459737111,-0.01125409906233111,0.1707219561609066,0.21822218882286884,0.33597398306109455,0.11472331363686757
mean_value,0.15380660343329777,0.12668325110270018,0.11882891493860692,0.08145641412164686,0.19474595854089216,0.12668325110270018,-0.2799187982392866,0.5213390232096219,0.49438606925882755,0.8909932067568801,-0.4456444594356723,0.8318411456735079,1.0,0.2965294316788838,-0.2981601482878321,0.07992434071183455,0.12764586977005712,0.02460790208793766,0.18882592020837963,0.04577930065836454,0.024607902087937023,0.10133314750471252,0.15139316628216262,0.3097725187367841,0.02342015780848261
contrast,-0.0810333285563035,0.3906783101132575,0.38693597435026705,0.37953466924641843,0.3356324058337522,0.3906783101132575,-0.20706942644297563,0.10982367139636098,0.07750470902216673,0.32760827925621766,-0.22874249285920456,0.3390541207830497,0.2965294316788838,1.0,-0.8852914194899068,-0.39694854523606754,-0.5310251245445631,-0.29666805109882227,0.9495266120869628,0.6498530465547097,-0.296668051098822,0.8266086346098762,0.8541718564290305,0.9571828957275877,0.6894008914059198
correlation,0.14240188935748396,-0.06400567468766878,-0.050907478377861574,-0.089517844179699,-0.08153124732940321,-0.06400567468766878,0.30369155269868764,-0.12552898701155513,-0.08979643925913533,-0.35795548934221977,0.32164469524978395,-0.36276083551785937,-0.2981601482878321,-0.8852914194899068,1.0,0.20867426916000983,0.36587218741412875,0.14694758461751498,-0.7979063512419021,-0.43099033403080067,0.14694758461751498,-0.6650127264680736,-0.6716954742495009,-0.8915886782552321,-0.5459444598500396
energy,0.017556038049114993,-0.6520900990141479,-0.5909393590756608,-0.841232123827637,-0.6282764403023164,-0.6520900990141479,-0.07164238200681801,0.09850534319598234,0.11508412443721519,0.05198927341594655,-0.10355493330793088,0.040912198309939744,0.07992434071183455,-0.39694854523606754,0.20867426916000983,1.0,0.8696864781995042,0.9362426918187801,-0.5766672206259017,-0.8888788138394218,0.9362426918187802,-0.6461500472659791,-0.6550189501044114,-0.3003058027611044,-0.6315103629249351
homogeneity,0.013059378249857643,-0.5840447987936063,-0.5548885594441757,-0.6834444666641644,-0.5652672123045263,-0.5840447987936063,-0.09311948965530635,0.11492046317120479,0.13121213345064867,0.10634007425480285,-0.1290446056406192,0.08697286423524918,0.12764586977005712,-0.5310251245445631,0.36587218741412875,0.8696864781995042,1.0,0.721125391780841,-0.7413012103915245,-0.9372708914770761,0.721125391780841,-0.8149294839518333,-0.7998044454727323,-0.4190006774027953,-0.7866052916785953
ASM,0.024974786058731817,-0.579359998111319,-0.4961904452138494,-0.7980250215143976,-0.6118023833060181,-0.579359998111319,-0.02231743542473138,0.05738964764382063,0.06971140444948469,8.193111930735019e-05,-0.042403930854631386,-0.011254099062330759,0.02460790208793766,-0.29666805109882227,0.14694758461751498,0.9362426918187801,0.721125391780841,1.0,-0.4382718788516011,-0.7688556486516809,0.9999999999999998,-0.4916762383236095,-0.5089622115465776,-0.2246165732118319,-0.4839528459034991
dissimilarity,-0.07313916222438334,0.51489956020233,0.5054114800181617,0.5246638733304709,0.4583764235449438,0.51489956020233,-0.12514227450681262,0.03340423672284737,0.004737122043601377,0.22062060091969102,-0.12625145868635992,0.2366168718072615,0.18882592020837963,0.9495266120869628,-0.7979063512419021,-0.5766672206259017,-0.7413012103915245,-0.4382718788516011,1.0,0.824197813381613,-0.43827187885160096,0.9498603652762919,0.950121802115786,0.8697217121087045,0.8358056222842117
glcm_entropy,-0.04108313151162809,0.7587070340645099,0.7200207266219986,0.8469294232393115,0.7259175097312278,0.7587070340645099,0.008829066058830114,-0.06485077406302563,-0.08403485964774787,0.07067130454904638,0.032181144988790905,0.08786850459737111,0.04577930065836454,0.6498530465547097,-0.43099033403080067,-0.8888788138394218,-0.9372708914770761,-0.7688556486516809,0.824197813381613,1.0,-0.7688556486516808,0.8815489224306684,0.8831985784117873,0.5278005983719636,0.8281311744754997
glcm_variance,0.024974786058731366,-0.5793599981113188,-0.4961904452138501,-0.7980250215143974,-0.6118023833060181,-0.5793599981113188,-0.02231743542473158,0.05738964764382039,0.06971140444948419,8.193111930689952e-05,-0.04240393085463144,-0.01125409906233111,0.024607902087937023,-0.296668051098822,0.14694758461751498,0.9362426918187802,0.721125391780841,0.9999999999999998,-0.43827187885160096,-0.7688556486516808,1.0,-0.4916762383236099,-0.5089622115465778,-0.22461657321183193,-0.4839528459034982
edge_density,-0.08600452926105022,0.5804805147978467,0.5649984185621351,0.5967948157150519,0.5078254674630668,0.5804805147978467,-0.0955002634254499,-0.017336017299787586,-0.0406911237592111,0.14510525418347353,-0.08153419470701936,0.1707219561609066,0.10133314750471252,0.8266086346098762,-0.6650127264680736,-0.6461500472659791,-0.8149294839518333,-0.4916762383236095,0.9498603652762919,0.8815489224306684,-0.4916762383236099,1.0,0.9772840978981158,0.7213129594275789,0.9365454505473249
gradient,-0.07678461386533574,0.6155695328562464,0.6034970653814704,0.6258190425235469,0.5405686750085579,0.6155695328562464,-0.11602511614736051,0.018417214406877738,-0.009696867737191422,0.19132739493688203,-0.11238329155238512,0.21822218882286884,0.15139316628216262,0.8541718564290305,-0.6716954742495009,-0.6550189501044114,-0.7998044454727323,-0.5089622115465776,0.950121802115786,0.8831985784117873,-0.5089622115465778,0.9772840978981158,1.0,0.7359707694510781,0.9294053998466676
laplacian_variance,-0.060901173749959715,0.28206944851220295,0.2785609102863525,0.27023469554123475,0.23222688877130407,0.28206944851220295,-0.2065436385770112,0.13749215913041873,0.10816987298605438,0.33153418653177874,-0.23902802465476258,0.33597398306109455,0.3097725187367841,0.9571828957275877,-0.8915886782552321,-0.3003058027611044,-0.4190006774027953,-0.2246165732118319,0.8697217121087045,0.5278005983719636,-0.22461657321183193,0.7213129594275789,0.7359707694510781,1.0,0.5335701499769888
keypoint_density,-0.10353464754149559,0.5287282890491338,0.5099736554825578,0.5576880299719069,0.4543784395155852,0.5287282890491338,-0.09447852814855336,-0.04358741847907312,-0.06602341485405737,0.08151240987674666,-0.07050276066573041,0.11472331363686757,0.02342015780848261,0.6894008914059198,-0.5459444598500396,-0.6315103629249351,-0.7866052916785953,-0.4839528459034991,0.8358056222842117,0.8281311744754997,-0.4839528459034982,0.9365454505473249,0.9294053998466676,0.5335701499769888,1.0
